,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
8,255,245,255,254,255,255,161,77,164,255,247,253,255,217,211,255,243,255,255,254,252,255,255,250,255,255,255,255
9,255,252,255,255,247,233,77,6,64,240,255,244,205,53,41,167,255,255,255,255,254,253,254,255,255,255,255,255
10,254,255,255,255,250,224,22,0,30,238,255,255,188,0,0,98,255,246,244,254,255,251,254,255,255,255,255,255
11,252,255,254,255,255,241,20,10,37,219,253,254,181,6,14,56,255,255,255,255,255,251,249,254,255,255,255,255
12,255,255,253,252,255,243,25,13,23,208,252,252,189,9,11,39,235,249,255,253,248,250,254,254,255,255,255,255
13,255,255,255,251,255,243,43,0,7,213,255,255,237,27,0,40,236,253,255,252,247,254,255,255,255,255,255,255
14,254,250,255,254,255,253,86,0,0,193,253,244,244,52,0,22,228,238,250,255,255,255,253,248,255,255,255,255
15,255,249,255,253,255,255,121,3,1,175,255,233,208,61,10,4,115,128,165,215,249,255,255,255,255,255,255,255
16,251,255,220,188,185,187,138,0,3,35,55,42,15,3,3,6,7,0,2,43,233,253,255,249,255,255,255,255
17,246,252,101,0,0,0,1,12,9,14,7,0,0,0,0,0,0,0,5,57,224,255,255,255,255,255,255,255
18,255,242,75,0,24,15,0,1,0,0,5,20,46,74,87,87,118,134,166,199,255,255,248,247,255,255,255,255
19,250,255,190,95,39,38,85,110,152,173,197,214,230,244,254,255,245,253,255,255,255,249,251,255,255,255,255,255
20,250,252,255,253,235,253,255,247,246,254,255,255,249,248,253,255,255,255,245,251,251,255,255,255,255,255,255,255
21,255,255,250,255,255,254,250,255,255,255,253,253,255,255,255,255,253,255,255,255,255,255,251,245,255,255,255,255
22,253,255,251,252,255,255,241,255,250,247,247,253,255,255,252,247,253,255,255,245,250,248,255,255,255,255,255,255
23,246,255,255,250,247,255,255,252,255,255,255,255,252,250,254,255,253,255,255,243,255,255,252,254,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
