,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,249,255,248,255,255,255,255,255,255,255,255,255,255,255,255,254,255,255,254,246,251,255,255,255,255,255
1,245,251,255,255,255,255,247,247,252,253,255,255,255,255,255,255,255,236,254,243,255,255,255,250,255,255,255,255
2,255,255,252,238,255,251,255,255,255,255,255,255,252,250,251,253,253,243,255,255,250,246,252,249,255,255,255,255
3,247,242,255,255,245,234,239,236,240,242,242,238,234,233,237,242,255,254,250,255,240,255,255,244,255,255,255,255
4,255,251,255,242,95,52,41,31,25,26,26,24,24,28,35,40,66,84,70,87,115,158,252,253,255,255,255,255
5,255,254,254,229,34,0,0,0,5,2,0,0,0,0,0,0,0,6,5,0,16,23,180,255,255,255,255,255
6,248,253,255,255,134,95,74,81,72,68,63,60,58,52,44,37,14,0,0,5,0,0,77,232,255,255,255,255
7,255,255,242,255,255,255,242,255,255,253,252,255,255,251,238,227,195,191,184,200,58,7,0,228,255,255,255,255
8,255,255,251,255,249,255,255,253,255,255,254,254,254,255,255,255,252,255,255,243,111,0,0,200,255,255,255,255
9,255,255,255,252,252,250,244,251,255,255,254,253,254,254,255,255,253,243,252,253,103,10,0,194,255,255,255,255
10,252,250,242,251,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,255,89,6,0,199,255,255,255,255
11,255,253,250,255,204,185,173,182,178,178,177,176,176,176,176,177,168,173,169,172,52,2,0,205,255,255,255,255
12,254,253,255,243,58,4,0,10,2,1,0,0,0,0,0,0,6,12,0,9,6,6,13,205,255,255,255,255
13,250,244,253,236,48,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,1,0,17,210,255,255,255,255
14,255,249,255,255,187,165,162,155,143,142,141,139,139,138,138,138,138,145,152,144,40,0,8,203,255,255,255,255
15,255,247,255,247,255,246,252,250,255,255,255,255,254,253,253,253,255,247,255,255,76,5,2,183,255,255,255,255
16,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,246,255,255,105,0,2,175,255,255,255,255
17,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,255,255,128,1,1,153,255,255,255,255
18,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,255,249,251,149,0,3,142,255,255,255,255
19,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,246,255,251,251,161,0,9,147,255,255,255,255
20,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,255,254,255,167,0,6,138,255,255,255,255
21,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,248,252,152,0,0,128,255,255,255,255
22,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,250,250,248,120,0,10,171,255,255,255,255
23,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,255,252,94,0,40,241,255,255,255,255
24,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,252,251,255,255,212,166,190,250,253,253,253,253
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,246,255,255,246,247,255,255,255,255,255
26,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,251,251,249,250,255,255,255,253,252,252,252,252
27,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,179,194,201,191,182,184,188,187,188,188,188,188
