,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
6,255,255,255,255,255,255,254,254,254,255,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,255
7,255,255,255,255,255,254,254,254,254,254,254,255,255,255,255,255,254,254,254,254,254,255,255,255,255,255,255,255
8,255,250,255,251,253,254,176,205,251,242,254,255,255,250,249,255,234,118,60,133,251,254,254,252,255,255,255,255
9,251,252,255,255,254,177,40,19,180,254,249,253,244,250,255,254,174,13,20,33,179,254,246,254,251,252,252,254
10,255,255,252,246,254,158,23,8,40,195,250,254,247,255,255,251,159,4,20,19,135,254,254,253,255,255,254,249
11,252,255,255,253,254,184,27,27,1,97,254,254,255,255,251,255,164,21,18,10,59,245,253,254,252,254,255,253
12,247,252,255,254,254,208,18,18,25,33,184,248,245,243,255,251,124,9,30,7,15,197,235,254,250,246,251,255
13,255,252,250,249,254,199,31,30,22,3,87,254,254,255,255,222,53,19,24,24,27,98,254,254,254,255,253,255
14,255,251,255,254,252,119,15,5,23,7,45,212,210,196,229,142,13,18,41,38,9,20,228,242,234,250,255,252
15,253,252,255,250,234,41,24,30,55,13,23,53,44,32,80,20,27,8,162,112,9,26,60,139,133,204,255,255
16,244,255,239,250,136,5,26,87,200,42,1,26,20,10,24,18,15,63,228,220,46,0,29,9,0,152,254,255
17,254,250,254,215,38,10,13,187,246,158,72,17,26,100,104,15,18,177,255,250,156,35,0,20,36,161,244,251
18,241,255,253,203,33,21,94,247,255,248,223,188,199,255,245,165,190,251,237,250,255,201,134,94,178,242,255,255
19,252,255,244,244,169,127,230,255,249,249,255,255,255,253,254,254,254,254,255,255,241,241,255,240,245,255,255,246
20,255,244,255,255,253,254,255,254,255,255,255,252,253,254,253,254,255,249,252,243,255,255,249,254,246,254,255,253
21,255,238,255,255,239,255,244,250,244,253,255,250,255,255,255,245,249,255,255,252,255,255,235,255,255,255,255,255
22,254,255,250,255,245,253,255,255,255,255,255,255,247,247,255,255,255,250,251,248,247,255,255,255,253,247,248,249
23,250,254,255,246,255,248,255,255,255,244,253,255,255,255,255,251,244,255,248,255,255,251,255,255,255,253,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
