,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,253,255,255,255,250,254,255,252,255,255,247,246,254,253,254,254,247,244,255,249,255,245,255,255,255,255,255,255
1,250,243,244,255,255,255,255,255,243,250,254,254,254,254,251,242,254,255,255,251,255,250,255,255,255,255,255,255
2,255,255,255,255,254,249,249,255,255,251,254,246,243,254,251,254,253,243,248,248,255,253,255,252,255,255,255,255
3,243,255,255,249,253,255,255,255,253,244,254,254,254,251,189,212,254,255,255,255,255,254,255,255,255,255,255,255
4,245,251,251,252,255,255,253,242,255,255,254,247,253,158,21,43,231,249,255,252,242,248,253,255,255,255,255,255
5,255,252,255,255,251,246,255,255,253,255,253,251,254,142,1,15,210,247,255,255,248,255,255,247,255,255,255,255
6,255,244,255,255,243,255,255,236,217,228,222,228,218,116,13,7,168,201,201,199,207,255,255,246,255,255,255,255
7,255,251,255,255,248,255,214,80,35,31,21,33,33,11,10,15,9,27,6,13,68,196,251,255,255,255,255,255
8,249,254,255,255,255,255,179,8,2,9,1,1,9,10,1,9,7,0,0,9,20,186,253,255,255,255,255,255
9,255,255,253,252,248,255,238,154,85,85,84,92,89,52,30,46,132,132,141,133,154,254,255,240,255,255,255,255
10,255,255,254,255,252,247,255,246,253,252,253,254,254,226,212,230,254,242,255,255,255,244,236,255,255,255,255,255
11,255,255,251,255,255,245,253,254,255,255,250,245,253,254,254,252,249,255,249,229,255,255,254,255,255,255,255,255
12,255,255,247,250,255,255,255,254,246,219,184,162,159,162,144,116,152,244,255,255,250,254,248,255,255,255,255,255
13,253,255,255,251,252,255,254,202,77,30,1,1,5,9,9,2,15,50,75,145,214,255,255,239,255,255,255,255
14,252,255,255,255,255,254,197,81,17,0,4,15,6,1,5,1,10,16,8,0,55,164,255,255,255,255,255,255
15,255,250,245,255,255,245,150,0,7,56,128,162,156,159,158,135,70,26,25,1,8,49,211,255,255,255,255,255
16,255,244,255,255,255,255,64,6,30,200,255,255,245,254,247,254,244,228,196,81,18,0,151,255,255,255,255,255
17,250,255,255,241,252,250,55,0,68,250,255,246,240,255,249,254,249,255,255,184,27,0,108,255,255,255,255,255
18,243,255,255,240,255,247,58,5,48,255,255,255,255,255,255,251,255,247,255,236,46,8,71,235,255,255,255,255
19,252,255,251,254,255,241,71,0,66,228,253,251,244,247,251,255,251,246,255,249,57,6,42,244,255,255,255,255
20,255,249,255,255,255,239,106,0,7,98,189,236,243,255,250,251,255,255,243,202,61,1,28,226,255,255,255,255
21,255,253,255,255,244,255,179,41,4,0,26,53,59,89,84,89,78,61,43,16,0,10,91,252,255,255,255,255
22,252,255,255,255,250,255,245,164,60,9,0,0,5,5,0,0,3,3,14,2,4,69,184,255,255,255,255,255
23,255,255,246,255,255,248,255,255,226,176,92,57,48,19,26,39,36,23,49,86,120,208,255,239,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,254,245,233,224,222,223,222,228,238,247,254,255,255,254,255,255,255,255
25,255,255,255,255,255,255,255,255,251,254,255,255,251,249,252,255,251,253,255,255,255,255,253,252,255,255,255,255
26,255,255,255,255,255,255,255,255,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,253,255,255,255,252,251,252,254,252,251,251,251,253,255,255,255,255,255,255,255
