,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,249,246,248,255,255,251,255,253,255,255,255,255,253,252,254,255,255,255,255,255,255,254,254,254,255,255,243,182
1,255,255,255,240,255,255,255,255,250,251,252,252,252,253,254,255,248,249,250,252,254,255,255,255,255,255,255,188
2,254,254,255,238,255,253,241,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,245,246,254,184
3,250,244,255,255,255,240,255,255,254,252,250,250,252,254,253,251,252,252,251,251,250,250,250,250,255,253,255,181
4,255,250,255,255,254,250,255,224,217,216,215,216,220,225,228,230,230,231,233,236,239,241,244,245,226,229,255,186
5,255,255,255,255,249,255,212,88,11,11,11,10,10,11,15,18,21,22,23,25,28,30,31,32,56,112,244,188
6,251,253,255,254,254,255,104,0,0,0,4,4,0,0,0,5,0,0,0,0,0,1,1,1,0,58,230,187
7,255,247,255,251,255,255,49,13,8,21,35,42,41,41,47,53,55,56,58,62,65,68,70,72,82,128,255,189
8,255,255,255,253,253,255,100,0,4,115,251,240,250,234,255,248,255,255,255,255,255,255,255,255,252,255,250,188
9,255,255,255,255,250,255,159,1,0,65,235,249,255,251,247,255,255,255,255,255,255,255,255,255,253,255,250,188
10,255,255,250,255,251,253,228,21,0,13,205,252,255,255,237,255,255,255,255,255,255,255,255,255,253,255,250,189
11,255,255,251,255,255,251,255,68,2,0,164,248,252,255,243,255,255,255,255,255,255,255,255,255,253,255,251,189
12,255,253,255,247,255,248,255,127,3,0,121,247,250,255,255,251,255,255,255,255,255,255,255,255,254,255,251,189
13,255,253,255,245,255,246,247,171,0,2,85,251,255,252,255,243,255,255,255,255,255,255,255,255,254,255,252,190
14,255,255,255,253,255,244,255,188,0,0,61,249,255,251,255,248,255,255,255,255,255,255,255,255,254,255,252,190
15,255,255,250,255,254,243,255,188,11,0,49,244,255,249,249,255,255,255,255,255,255,255,255,255,254,255,252,190
16,252,255,255,252,254,255,244,225,14,5,36,243,255,248,253,255,253,255,255,255,255,255,254,253,253,255,254,194
17,253,255,255,252,254,255,246,230,13,2,24,244,255,255,255,255,248,250,252,254,255,255,255,255,255,252,249,178
18,254,255,255,252,254,255,250,238,37,13,11,233,252,247,253,249,255,255,255,255,253,251,251,251,255,255,255,191
19,255,255,254,252,255,255,254,245,44,7,0,217,248,253,255,255,250,250,251,254,255,255,255,255,251,243,251,187
20,255,255,254,252,255,255,255,251,56,8,15,214,255,255,255,248,255,255,255,255,255,254,249,245,255,255,249,184
21,255,255,253,254,255,255,255,253,52,0,28,192,254,255,255,245,241,235,227,218,209,196,182,173,197,255,255,196
22,255,254,253,255,255,255,254,254,103,0,5,67,98,86,68,58,23,18,14,12,12,8,1,0,59,226,239,187
23,254,253,253,255,255,254,253,253,163,14,0,0,5,0,0,0,5,0,0,0,1,3,1,0,18,243,255,187
24,255,255,255,255,255,255,255,255,247,162,61,7,3,13,17,15,29,31,38,49,65,84,101,111,210,239,254,197
25,255,255,255,255,255,255,255,255,255,248,235,221,210,207,220,236,240,240,241,243,247,252,255,255,240,254,253,189
26,255,255,255,255,255,255,255,255,246,253,255,255,254,245,247,255,255,255,255,255,255,254,252,250,255,255,250,184
27,255,255,255,255,255,255,255,255,255,255,251,252,255,255,255,253,249,251,253,255,255,255,253,253,254,255,248,187
